0,1,5,6,12,6,8,3,13,1,1,2,3,1,0,0,0,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
0,0,3,0,4,1,13,3,13,2,4,4,2,0,0,0,0,1,1,0,1,0,6,3,1,2,1,0,0,0,0,1,0,1,0
0,4,1,6,3,1,6,6,4,10,9,9,4,0,2,0,1,1,0,1,1,0,0,1,0,6,1,2,0,0,0,0,0,0,0
0,3,4,2,4,4,5,8,7,6,0,0,2,0,1,1,2,3,3,9,5,5,1,0,1,4,0,0,1,0,0,0,1,0,0
3,3,14,6,1,6,8,0,8,9,4,4,3,0,0,0,5,5,1,4,3,5,1,2,0,3,2,0,0,0,1,0,0,0,0
3,4,2,6,6,3,7,4,4,3,11,0,0,1,0,1,0,3,3,1,0,0,3,0,3,1,3,1,0,0,0,0,0,0,0
10,8,12,10,9,10,0,4,7,3,16,6,0,0,0,5,8,3,4,7,5,0,3,2,1,0,0,4,2,0,1,2,0,0,0
6,12,4,1,4,18,3,5,2,11,28,9,7,1,0,1,1,4,1,2,4,0,5,1,6,1,0,1,0,0,0,0,3,1,0
1,3,20,11,19,7,5,7,13,9,18,8,3,8,6,3,0,0,0,10,3,8,4,3,5,4,0,3,3,0,0,0,0,3,0
2,0,2,3,8,18,26,9,7,9,13,13,17,10,13,15,10,0,0,5,5,8,3,6,2,0,0,3,0,0,0,2,4,2,0
1,4,4,3,6,14,17,38,22,17,6,14,7,7,44,15,6,8,13,5,11,11,7,2,5,1,3,0,1,1,2,4,2,1,1
2,1,3,7,7,5,8,16,10,29,23,16,23,18,23,10,11,7,3,1,7,4,4,3,1,4,4,0,3,4,1,1,1,0,0
6,5,5,4,1,7,4,7,3,7,14,47,29,25,58,27,8,10,6,9,9,16,4,2,6,3,5,0,0,0,1,2,1,1,1
0,3,7,13,3,6,6,11,16,19,8,10,22,44,13,23,33,5,22,19,18,7,4,1,6,5,2,0,1,1,0,0,1,1,1
3,4,4,2,5,8,2,11,19,6,15,14,11,23,8,11,20,2,6,2,7,3,3,7,9,9,7,10,9,1,2,0,0,0,1
3,1,10,5,4,3,6,3,2,18,6,5,23,22,9,9,20,5,6,5,2,1,0,0,11,4,7,2,4,5,2,1,2,0,0
2,0,3,1,4,8,1,4,5,10,5,11,13,18,4,5,8,7,11,8,2,1,6,0,1,2,2,7,7,3,2,2,1,1,0
1,1,0,4,0,7,3,4,5,7,7,6,5,5,11,9,11,7,11,11,10,8,12,2,0,0,1,0,6,4,5,2,1,0,2
0,2,2,1,1,8,4,4,3,5,2,6,21,3,5,17,16,2,8,11,13,10,6,1,4,0,0,2,2,2,3,0,0,1,2
2,1,2,1,1,1,9,4,10,4,1,2,2,5,4,22,15,5,2,7,19,5,2,7,3,1,0,0,3,1,2,0,0,0,0
1,2,0,1,0,0,2,2,2,9,4,8,11,9,12,14,15,4,4,12,10,4,9,2,1,0,0,2,2,0,2,1,1,0,0
1,0,0,1,0,0,1,2,1,1,5,17,3,1,6,6,6,3,8,14,8,7,5,2,0,0,2,0,0,0,4,0,1,1,1
0,0,1,1,3,1,2,2,0,1,1,14,4,2,3,6,10,7,4,7,5,11,5,8,1,0,0,1,5,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0,1,5,9,3,4,4,4,10,0,2,0,5,5,4,0,0,0,0,1,3,0,3,1,0,1,0
0,0,0,0,0,0,1,0,0,1,6,15,6,5,6,0,4,0,1,0,1,4,3,0,1,0,1,0,0,0,2,0,0,0,0
