0,4,7,11,41,23,27,7,18,9,7,9,10,7,1,0,0,9,1,0,0,0,2,7,4,3,3,1,3,0,0,0,0,0,0
11,5,10,13,11,10,71,14,33,13,12,13,17,1,2,3,2,10,5,2,1,1,5,1,2,4,1,3,1,1,0,1,0,1,0
7,9,7,32,10,8,27,33,8,20,17,9,11,0,0,0,5,3,3,13,7,4,4,7,2,18,4,3,0,1,0,3,1,0,0
9,8,18,2,5,4,20,31,24,17,9,1,12,0,4,5,27,29,25,13,9,8,1,2,0,15,4,5,6,1,2,2,1,0,0
16,12,42,28,12,13,32,4,23,44,10,31,18,0,0,5,17,11,14,5,11,17,9,14,0,10,2,0,1,1,4,2,2,2,0
14,22,3,13,15,27,37,14,22,27,30,10,3,4,0,22,11,15,3,6,7,8,4,8,9,16,18,7,1,0,2,1,0,0,0
26,32,28,42,20,36,14,33,35,11,30,18,9,2,0,25,21,24,16,18,17,3,9,8,10,5,1,6,14,7,10,2,1,0,0
58,51,29,12,17,84,23,17,21,52,72,59,36,5,1,7,17,24,12,20,25,6,22,1,14,5,0,3,1,1,1,12,12,1,0
12,16,50,67,108,32,18,33,55,62,69,32,38,35,18,15,0,5,9,19,24,8,12,7,14,6,0,14,4,1,2,0,1,10,12
9,7,12,5,54,90,90,61,37,38,65,55,53,35,60,72,28,1,7,32,48,28,5,12,13,1,1,17,11,14,9,8,8,3,1
12,14,23,28,52,42,72,126,100,69,45,72,27,55,171,56,29,39,70,36,35,44,16,12,23,16,11,10,4,12,9,8,8,4,4
13,17,24,33,36,47,29,60,40,91,133,121,119,97,134,52,55,24,15,10,18,43,22,2,6,15,16,2,9,10,10,9,5,4,1
37,31,19,20,6,20,0,35,8,48,48,213,188,149,214,137,31,25,18,35,55,47,44,35,21,11,18,1,1,1,2,4,9,11,8
3,12,12,33,19,34,19,35,27,74,40,49,71,146,75,108,134,22,78,74,68,29,17,31,25,18,12,7,0,2,3,0,1,1,0
8,8,15,12,15,35,36,67,72,21,58,50,37,158,50,25,51,5,37,15,14,10,13,17,22,36,19,24,26,5,1,1,5,0,4
12,18,19,30,28,28,22,17,15,57,35,11,63,79,13,36,79,35,17,17,6,7,1,16,19,8,20,19,15,18,4,3,6,0,2
15,7,9,12,9,29,13,5,16,27,27,47,44,80,18,29,36,51,43,43,15,15,26,4,0,12,11,36,20,11,7,7,2,3,4
3,6,1,10,4,33,8,24,22,38,18,16,23,31,48,44,37,26,37,23,36,24,34,4,5,2,11,2,15,4,16,5,10,3,6
0,11,1,9,5,23,10,21,10,25,16,16,68,24,33,63,40,26,36,22,51,49,25,13,3,0,2,7,10,7,11,1,4,0,1
4,9,1,7,3,9,26,19,47,14,6,5,34,22,20,66,49,22,32,25,56,18,22,13,16,0,2,1,6,4,13,4,4,4,0
3,7,0,5,0,0,3,12,10,24,19,36,34,18,32,45,51,17,29,43,46,14,22,6,4,0,2,3,2,0,8,3,3,0,4
0,0,0,4,0,0,0,15,5,4,5,33,3,4,18,19,33,9,54,83,41,43,8,4,0,0,6,9,1,1,7,7,2,2,5
3,1,2,7,0,7,2,11,0,0,7,62,15,19,18,15,47,13,15,36,28,24,18,14,2,1,0,8,2,0,7,2,3,2,0
3,4,0,8,3,1,3,1,0,2,16,32,9,13,14,17,31,5,8,5,12,19,14,2,0,0,0,9,4,0,7,4,1,0,0
0,1,0,0,2,1,4,0,1,4,9,37,13,17,6,0,14,3,2,2,14,19,9,1,0,0,0,1,2,4,1,0,1,1,0
