30,33,28,40,34,28,32,29,22,30,60,50,37,44,0,0,0,13,32,19,32,0,0,31,29,28,15,32,0,12,0,56,30,0,12
35,27,30,29,41,35,25,27,34,30,24,16,25,0,52,49,43,40,41,42,35,23,18,32,37,35,25,0,45,43,49,41,30,39,0
35,17,41,32,20,20,29,46,18,32,25,49,25,0,0,11,38,14,22,18,57,58,55,57,79,20,30,25,42,39,0,38,0,16,0
27,23,30,21,16,27,34,41,63,26,29,30,35,66,62,61,66,35,60,67,54,33,25,33,36,32,40,40,50,60,67,71,31,0,0
25,19,25,25,32,26,41,29,27,37,19,34,26,42,0,46,40,25,28,23,38,62,32,77,0,35,18,5,7,0,25,36,42,52,88
30,24,27,18,28,29,33,24,25,21,45,42,32,32,25,55,23,31,32,25,25,23,31,74,86,52,73,77,84,0,11,0,0,0,0
30,25,23,22,23,38,26,21,23,18,37,32,26,60,0,44,27,23,30,27,37,30,17,27,30,33,0,78,80,70,64,87,27,0,0
27,29,27,24,19,27,27,26,32,37,30,28,28,22,0,55,65,34,31,26,36,36,29,25,25,16,0,60,0,29,31,79,86,70,29
32,29,39,44,30,35,31,23,25,23,24,22,24,32,29,54,14,49,37,34,30,26,40,26,32,23,19,44,31,39,12,0,49,77,73
30,15,26,32,32,28,22,23,26,22,23,25,25,25,27,36,39,0,47,42,42,50,40,46,35,11,72,44,26,30,22,35,40,26,17
40,20,22,44,28,23,21,20,25,19,19,23,19,21,25,21,24,40,46,36,22,39,31,31,33,23,59,50,26,36,29,33,23,44,35
32,24,27,40,27,33,28,25,24,20,18,20,17,15,22,22,26,25,31,26,25,31,29,36,25,34,63,53,37,37,31,23,36,37,80
31,27,33,41,31,23,35,32,35,26,21,21,24,29,30,22,24,31,27,26,22,27,29,29,26,30,35,0,0,9,21,48,30,31,66
21,22,23,27,32,26,20,22,23,21,23,19,20,21,23,24,26,27,20,21,27,33,40,35,31,39,39,41,50,30,42,0,49,71,72
53,22,26,28,47,21,21,21,19,31,23,23,24,25,27,22,20,13,26,29,29,29,28,23,31,38,29,31,21,21,23,29,39,3,83
28,22,33,29,35,33,22,25,26,22,27,19,22,33,29,26,24,34,26,23,36,26,37,35,40,26,30,27,29,29,31,29,33,15,77
28,28,27,29,24,32,30,40,26,27,30,29,33,38,23,22,21,26,25,24,21,24,31,52,36,32,35,29,20,32,30,28,22,42,83
67,44,35,27,41,36,31,26,24,22,21,26,32,24,35,24,20,23,21,28,25,25,28,16,39,47,37,34,25,22,31,27,33,25,47
31,34,41,28,23,53,23,23,18,29,26,30,24,26,25,29,24,21,21,21,32,29,20,25,22,24,0,17,30,27,43,24,45,11,88
22,55,57,57,79,25,42,49,36,24,22,23,36,29,20,30,25,34,43,36,32,23,31,20,62,0,0,23,35,17,35,33,44,0,89
72,64,20,36,36,0,27,19,29,38,43,44,57,43,33,37,34,39,39,25,28,22,24,38,33,0,25,33,43,0,35,18,46,0,79
10,61,0,13,11,15,28,34,29,14,25,36,42,26,32,20,35,24,24,27,30,31,22,36,0,10,48,31,38,14,53,56,54,53,82
41,35,35,36,16,17,34,26,0,13,26,26,21,20,32,17,33,28,34,25,20,23,38,32,34,16,0,48,39,0,56,37,0,58,0
32,73,25,23,34,10,47,26,0,14,18,29,15,24,21,24,34,28,26,40,27,23,22,37,0,50,0,38,47,62,32,27,45,51,82
8,0,0,0,0,20,44,0,26,18,24,23,25,24,27,20,58,34,39,39,31,30,22,24,0,0,0,36,33,59,28,24,44,83,0
